Commission,Category,Geography,Date,Evaluation,Resignations,CumeResignations,Population
Yes,Sales,South America,09/30/13,B,1,14,3
Yes,Sales,South America,10/31/13,B,1,15,3
Yes,Sales,South America,11/30/13,B,1,16,7
Yes,Sales,South America,12/31/13,B,1,17,3
Yes,Sales,Asia,01/31/10,B,55,55,501
Yes,Sales,Asia,02/28/10,B,46,101,377
Yes,Sales,Asia,03/31/10,B,49,150,371
Yes,Sales,Asia,04/30/10,B,68,218,377
Yes,Sales,Asia,05/31/10,B,61,279,358
Yes,Sales,Asia,06/30/10,B,72,351,351
Yes,Sales,Asia,07/31/10,B,81,432,354
Yes,Sales,Asia,08/31/10,B,62,494,341
Yes,Sales,Asia,09/30/10,B,61,555,335
Yes,Sales,Asia,10/31/10,B,55,610,348
Yes,Sales,Asia,11/30/10,B,47,657,325
Yes,Sales,Asia,12/31/10,B,37,694,338
Yes,Sales,Asia,01/31/11,B,33,33,319
Yes,Sales,Asia,02/28/11,B,38,71,325
Yes,Sales,Asia,03/31/11,B,43,114,338
Yes,Sales,Asia,04/30/11,B,58,172,335
Yes,Sales,Asia,05/31/11,B,51,223,315
Yes,Sales,Asia,06/30/11,B,63,286,322
Yes,Sales,Asia,07/31/11,B,62,348,283
Yes,Sales,Asia,08/31/11,B,59,407,345
Yes,Sales,Asia,09/30/11,B,59,466,345
Yes,Sales,Asia,10/31/11,B,51,517,341
Yes,Sales,Asia,11/30/11,B,39,556,283
Yes,Sales,Asia,12/31/11,B,16,572,150
Yes,Sales,Asia,01/31/12,B,18,18,120
Yes,Sales,Asia,02/28/12,B,21,39,127
Yes,Sales,Asia,03/31/12,B,22,61,120
Yes,Sales,Asia,04/30/12,B,31,92,127
Yes,Sales,Asia,05/31/12,B,28,120,124
Yes,Sales,Asia,06/30/12,B,35,155,127
Yes,Sales,Asia,07/31/12,B,32,187,104
Yes,Sales,Asia,08/31/12,B,28,215,114
Yes,Sales,Asia,09/30/12,B,25,240,101
Yes,Sales,Asia,10/31/12,B,23,263,111
Yes,Sales,Asia,11/30/12,B,23,286,117
Yes,Sales,Asia,12/31/12,B,18,304,120
Yes,Sales,Asia,01/31/13,B,10,10,111
Yes,Sales,Asia,02/28/13,B,12,22,117
Yes,Sales,Asia,03/31/13,B,13,35,111
Yes,Sales,Asia,04/30/13,B,15,50,98
Yes,Sales,Asia,05/31/13,B,14,64,98
Yes,Sales,Asia,06/30/13,B,19,83,111
Yes,Sales,Asia,07/31/13,B,20,103,101
Yes,Sales,Asia,08/31/13,B,15,118,98
Yes,Sales,Asia,09/30/13,B,15,133,94
Yes,Sales,Asia,10/31/13,B,12,145,88
Yes,Sales,Asia,11/30/13,B,11,156,91
Yes,Sales,Asia,12/31/13,B,9,165,98
Yes,Sales,Europe,01/31/10,B,15,15,137
Yes,Sales,Europe,02/28/10,B,15,30,120
Yes,Sales,Europe,03/31/10,B,15,45,111
Yes,Sales,Europe,04/30/10,B,22,67,117
Yes,Sales,Europe,05/31/10,B,20,87,114
Yes,Sales,Europe,06/30/10,B,24,111,114
Yes,Sales,Europe,07/31/10,B,23,134,98
Yes,Sales,Europe,08/31/10,B,22,156,117
Yes,Sales,Europe,09/30/10,B,19,175,104
Yes,Sales,Europe,10/31/10,B,18,193,111
Yes,Sales,Europe,11/30/10,B,15,208,101
Yes,Sales,Europe,12/31/10,B,10,218,91
Yes,Sales,Europe,01/31/11,B,11,11,101
Yes,Sales,Europe,02/28/11,B,10,21,81
Yes,Sales,Europe,03/31/11,B,10,31,78
Yes,Sales,Europe,04/30/11,B,15,46,85
Yes,Sales,Europe,05/31/11,B,12,58,72
Yes,Sales,Europe,06/30/11,B,11,69,55
Yes,Sales,Europe,07/31/11,B,17,86,75
Yes,Sales,Europe,08/31/11,B,14,100,78
Yes,Sales,Europe,09/30/11,B,15,115,85
Yes,Sales,Europe,10/31/11,B,9,124,59
Yes,Sales,Europe,11/30/11,B,10,134,68
Yes,Sales,Europe,12/31/11,B,7,141,65
Yes,Sales,Europe,01/31/12,B,8,8,49
Yes,Sales,Europe,02/28/12,B,8,16,46
Yes,Sales,Europe,03/31/12,B,7,23,39
Yes,Sales,Europe,04/30/12,B,11,34,46
Yes,Sales,Europe,05/31/12,B,9,43,39
Yes,Sales,Europe,06/30/12,B,9,52,33
Yes,Sales,Europe,07/31/12,B,11,63,36
Yes,Sales,Europe,08/31/12,B,8,71,33
Yes,Sales,Europe,09/30/12,B,8,79,33
Yes,Sales,Europe,10/31/12,B,8,87,36
Yes,Sales,Europe,11/30/12,B,9,96,42
Yes,Sales,Europe,12/31/12,B,6,102,39
No,Development,Africa,01/31/13,B,13,13,140
No,Development,Africa,02/28/13,B,13,26,130
No,Development,Africa,03/31/13,B,16,42,140
No,Development,Africa,04/30/13,B,21,63,140
No,Development,Africa,05/31/13,B,19,82,133
No,Development,Africa,06/30/13,B,24,106,140
No,Development,Africa,07/31/13,B,28,134,143
No,Development,Africa,08/31/13,B,23,157,153
No,Development,Africa,09/30/13,B,23,180,153
No,Development,Africa,10/31/13,B,17,197,130
No,Development,Africa,11/30/13,B,15,212,120
No,Development,Africa,12/31/13,B,11,223,114
No,Development,North America,01/31/10,B,13,13,114
No,Development,North America,02/28/10,B,13,26,107
No,Development,North America,03/31/10,B,16,42,114
No,Development,North America,04/30/10,B,21,63,114
No,Development,North America,05/31/10,B,20,83,114
No,Development,North America,06/30/10,B,24,107,114
No,Development,North America,07/31/10,B,27,134,117
No,Development,North America,08/31/10,B,22,156,120
No,Development,North America,09/30/10,B,22,178,120
No,Development,North America,10/31/10,B,23,201,143
No,Development,North America,11/30/10,B,22,223,146
No,Development,North America,12/31/10,B,16,239,143
No,Development,North America,01/31/11,B,11,11,98
No,Development,North America,02/28/11,B,11,22,94
No,Development,North America,03/31/11,B,13,35,98
No,Development,North America,04/30/11,B,17,52,94
No,Development,North America,05/31/11,B,24,76,150
No,Development,North America,06/30/11,B,29,105,150
No,Development,North America,07/31/11,B,36,141,166
No,Development,North America,08/31/11,B,29,170,169
No,Development,North America,09/30/11,B,30,200,172
No,Development,North America,10/31/11,B,24,224,159
No,Development,North America,11/30/11,B,25,249,176
No,Development,North America,12/31/11,B,19,268,176
No,Development,North America,01/31/12,B,30,30,208
No,Development,North America,02/28/12,B,34,64,208
No,Development,North America,03/31/12,B,39,103,221
No,Development,North America,04/30/12,B,71,174,293
No,Development,North America,05/31/12,B,69,243,306
No,Development,North America,06/30/12,B,88,331,322
No,Development,North America,07/31/12,B,118,449,387
No,Development,North America,08/31/12,B,99,548,410
No,Development,North America,09/30/12,B,100,648,416
No,Development,North America,10/31/12,B,87,735,416
No,Development,North America,11/30/12,B,79,814,410
No,Development,North America,12/31/12,B,59,873,406
No,Development,North America,01/31/13,B,33,33,358
No,Development,North America,02/28/13,B,38,71,377
No,Development,North America,03/31/13,B,42,113,377
No,Development,North America,04/30/13,B,56,169,371
No,Development,North America,05/31/13,B,53,222,377
No,Development,North America,06/30/13,B,63,285,371
No,Development,North America,07/31/13,B,70,355,364
No,Development,North America,08/31/13,B,53,408,351
No,Development,North America,09/30/13,B,56,464,371
No,Development,North America,10/31/13,B,49,513,374
No,Development,North America,11/30/13,B,51,564,423
No,Development,North America,12/31/13,B,38,602,413
No,Development,South America,01/31/10,B,6,6,55
No,Development,South America,02/28/10,B,1,7,7
No,Development,South America,03/31/10,B,1,8,7
No,Development,South America,04/30/10,B,2,10,10
No,Development,South America,05/31/10,B,2,12,10
No,Development,South America,06/30/10,B,2,14,10
No,Development,South America,07/31/10,B,3,17,13
No,Development,South America,08/31/10,B,3,20,13
No,Development,South America,09/30/10,B,3,23,13
No,Development,South America,10/31/10,B,3,26,13
No,Development,South America,11/30/10,B,2,28,13
No,Development,South America,12/31/10,B,2,30,13
No,Development,South America,01/31/11,B,4,4,36
No,Development,South America,02/28/11,B,4,8,33
No,Development,South America,03/31/11,B,5,13,33
No,Development,South America,04/30/11,B,7,20,36
No,Development,South America,05/31/11,B,6,26,36
No,Development,South America,06/30/11,B,7,33,36
No,Development,South America,07/31/11,B,13,46,59
No,Development,South America,08/31/11,B,11,57,59
No,Development,South America,09/30/11,B,7,64,36
No,Development,South America,10/31/11,B,6,70,39
No,Development,South America,11/30/11,B,6,76,42
No,Development,South America,12/31/11,B,5,81,42
No,Development,South America,01/31/12,B,15,15,104
No,Development,South America,02/28/12,B,17,32,104
No,Development,South America,03/31/12,B,19,51,104
No,Development,South America,04/30/12,B,106,157,439
No,Development,South America,05/31/12,B,97,254,432
No,Development,South America,06/30/12,B,117,371,429
No,Development,South America,07/31/12,B,133,504,436
No,Development,South America,08/31/12,B,105,609,436
No,Development,South America,09/30/12,B,106,715,442
No,Development,South America,10/31/12,B,92,807,442
No,Development,South America,11/30/12,B,85,892,442
No,Development,South America,12/31/12,B,64,956,442
No,Development,South America,01/31/13,B,36,36,393
No,Development,South America,02/28/13,B,39,75,390
No,Development,South America,03/31/13,B,44,119,393
No,Development,South America,04/30/13,B,60,179,400
No,Development,South America,05/31/13,B,56,235,397
No,Development,South America,06/30/13,B,68,303,397
No,Development,South America,07/31/13,B,77,380,403
No,Development,South America,08/31/13,B,60,440,397
No,Development,South America,09/30/13,B,59,499,393
No,Development,South America,10/31/13,B,52,551,400
No,Development,South America,11/30/13,B,48,599,400
No,Development,South America,12/31/13,B,36,635,400
No,Development,Asia,01/31/10,B,32,32,296
No,Development,Asia,02/28/10,B,34,66,283
No,Development,Asia,03/31/10,B,38,104,283
No,Development,Asia,04/30/10,B,53,157,289
No,Development,Asia,05/31/10,B,48,205,283
No,Development,Asia,06/30/10,B,53,258,257
No,Development,Asia,07/31/10,B,58,316,254
No,Development,Asia,08/31/10,B,33,349,182
No,Development,Asia,09/30/10,B,32,381,172
No,Development,Asia,10/31/10,B,28,409,176
No,Development,Asia,11/30/10,B,26,435,179
No,Development,Asia,12/31/10,B,19,454,172
No,Development,Asia,01/31/11,B,31,31,299
No,Development,Asia,02/28/11,B,36,67,312
No,Development,Asia,03/31/11,B,38,105,302
No,Development,Asia,04/30/11,B,47,152,270
No,Development,Asia,05/31/11,B,45,197,276
No,Development,Asia,06/30/11,B,53,250,273
No,Development,Asia,07/31/11,B,59,309,270
No,Development,Asia,08/31/11,B,41,350,237
No,Development,Asia,09/30/11,B,41,391,237
No,Development,Asia,10/31/11,B,34,425,228
No,Development,Asia,11/30/11,B,31,456,224
No,Development,Asia,12/31/11,B,24,480,228
No,Development,Asia,01/31/12,B,32,32,218
No,Development,Asia,02/28/12,B,33,65,202
No,Development,Asia,03/31/12,B,58,123,325
No,Development,Asia,04/30/12,B,122,245,507
No,Development,Asia,05/31/12,B,113,358,504
No,Development,Asia,06/30/12,B,137,495,504
No,Development,Asia,07/31/12,B,182,677,598
No,Development,Asia,08/31/12,B,150,827,624
No,Development,Asia,09/30/12,B,158,985,657
No,Development,Asia,10/31/12,B,136,1121,653
No,Development,Asia,11/30/12,B,126,1247,657
No,Development,Asia,12/31/12,B,92,1339,640
No,Development,Asia,01/31/13,B,56,56,621
No,Development,Asia,02/28/13,B,62,118,614
No,Development,Asia,03/31/13,B,66,184,598
No,Development,Asia,04/30/13,B,90,274,595
No,Development,Asia,05/31/13,B,82,356,585
No,Development,Asia,06/30/13,B,98,454,572
No,Development,Asia,07/31/13,B,109,563,572
No,Development,Asia,08/31/13,B,87,650,579
No,Development,Asia,09/30/13,B,86,736,569
No,Development,Asia,10/31/13,B,73,809,556
No,Development,Asia,11/30/13,B,67,876,553
No,Development,Asia,12/31/13,B,50,926,546
No,Development,Europe,01/31/10,B,11,11,101
No,Development,Europe,02/28/10,B,13,24,101
No,Development,Europe,03/31/10,B,13,37,91
No,Development,Europe,04/30/10,B,18,55,98
No,Development,Europe,05/31/10,B,16,71,94
No,Development,Europe,06/30/10,B,22,93,104
No,Development,Europe,07/31/10,B,24,117,104
No,Development,Europe,08/31/10,B,19,136,101
No,Development,Europe,09/30/10,B,19,155,101
No,Development,Europe,10/31/10,B,15,170,91
No,Development,Europe,11/30/10,B,11,181,75
No,Development,Europe,12/31/10,B,9,190,81
No,Development,Europe,01/31/11,B,8,8,75
No,Development,Europe,02/28/11,B,9,17,72
No,Development,Europe,03/31/11,B,9,26,68
No,Development,Europe,04/30/11,B,13,39,72
No,Development,Europe,05/31/11,B,11,50,65
No,Development,Europe,06/30/11,B,12,62,59
No,Development,Europe,07/31/11,B,14,76,62
No,Development,Europe,08/31/11,B,11,87,59
No,Development,Europe,09/30/11,B,11,98,59
No,Development,Europe,10/31/11,B,9,107,55
No,Development,Europe,11/30/11,B,9,116,59
No,Development,Europe,12/31/11,B,7,123,59
No,Development,Europe,01/31/12,B,10,10,65
No,Development,Europe,02/28/12,B,10,20,59
No,Development,Europe,03/31/12,B,10,30,55
No,Development,Europe,04/30/12,B,15,45,59
No,Development,Europe,05/31/12,B,13,58,55
No,Development,Europe,06/30/12,B,15,73,55
No,Development,Europe,07/31/12,B,23,96,75
No,Development,Europe,08/31/12,B,24,120,98
No,Development,Europe,09/30/12,B,24,144,98
No,Development,Europe,10/31/12,B,21,165,101
No,Development,Europe,11/30/12,B,20,185,101
No,Development,Europe,12/31/12,B,15,200,98
No,Distributio,Africa,01/31/13,B,40,40,442
No,Distributio,Africa,02/28/13,B,40,80,400
No,Distributio,Africa,03/31/13,B,40,120,361
No,Distributio,Africa,04/30/13,B,51,171,335
No,Distributio,Africa,05/31/13,B,47,218,335
No,Distributio,Africa,06/30/13,B,56,274,325
No,Distributio,Africa,07/31/13,B,54,328,283
No,Distributio,Africa,08/31/13,B,40,368,267
No,Distributio,Africa,09/30/13,B,39,407,257
No,Distributio,Africa,10/31/13,B,31,438,237
No,Distributio,Africa,11/30/13,B,29,467,241
No,Distributio,Africa,12/31/13,B,23,490,250
No,Distributio,North America,01/31/10,B,102,102,936
No,Distributio,North America,02/28/10,B,107,209,891
No,Distributio,North America,03/31/10,B,117,326,881
No,Distributio,North America,04/30/10,B,160,486,884
No,Distributio,North America,05/31/10,B,147,633,874
No,Distributio,North America,06/30/10,B,179,812,874
No,Distributio,North America,07/31/10,B,201,1013,878
No,Distributio,North America,08/31/10,B,161,1174,891
No,Distributio,North America,09/30/10,B,165,1339,913
No,Distributio,North America,10/31/10,B,141,1480,904
No,Distributio,North America,11/30/10,B,131,1611,904
No,Distributio,North America,12/31/10,B,97,1708,894
No,Distributio,North America,01/31/11,B,73,73,709
No,Distributio,North America,02/28/11,B,79,152,686
No,Distributio,North America,03/31/11,B,85,237,673
No,Distributio,North America,04/30/11,B,116,353,676
No,Distributio,North America,05/31/11,B,101,454,631
No,Distributio,North America,06/30/11,B,117,571,601
No,Distributio,North America,07/31/11,B,122,693,562
No,Distributio,North America,08/31/11,B,95,788,553
No,Distributio,North America,09/30/11,B,93,881,543
No,Distributio,North America,10/31/11,B,82,963,553
No,Distributio,North America,11/30/11,B,76,1039,553
No,Distributio,North America,12/31/11,B,58,1097,559
No,Distributio,North America,01/31/12,B,74,74,514
No,Distributio,North America,02/28/12,B,79,153,491
No,Distributio,North America,03/31/12,B,85,238,481
No,Distributio,North America,04/30/12,B,111,349,462
No,Distributio,North America,05/31/12,B,105,454,468
No,Distributio,North America,06/30/12,B,115,569,423
No,Distributio,North America,07/31/12,B,128,697,419
No,Distributio,North America,08/31/12,B,95,792,393
No,Distributio,North America,09/30/12,B,90,882,374
No,Distributio,North America,10/31/12,B,75,957,358
No,Distributio,North America,11/30/12,B,63,1020,325
No,Distributio,North America,12/31/12,B,46,1066,315
No,Distributio,North America,01/31/13,B,23,23,247
No,Distributio,North America,02/28/13,B,21,44,202
No,Distributio,North America,03/31/13,B,20,64,176
No,Distributio,North America,04/30/13,B,20,84,130
No,Distributio,North America,05/31/13,B,16,100,114
No,Distributio,North America,06/30/13,B,18,118,104
No,Distributio,North America,07/31/13,B,15,133,75
No,Distributio,North America,08/31/13,B,9,142,55
No,Distributio,North America,09/30/13,B,7,149,42
No,Distributio,North America,10/31/13,B,5,154,33
No,Distributio,North America,11/30/13,B,5,159,39
No,Distributio,North America,12/31/13,B,4,163,39
No,Distributio,South America,01/31/10,B,2,2,10
No,Distributio,South America,02/28/10,B,2,4,10
No,Distributio,South America,03/31/10,B,2,6,10
No,Distributio,South America,04/30/10,B,3,9,13
No,Distributio,South America,05/31/10,B,3,12,13
No,Distributio,South America,06/30/10,B,3,15,13
No,Distributio,South America,07/31/10,B,4,19,16
No,Distributio,South America,08/31/10,B,3,22,16
No,Distributio,South America,09/30/10,B,3,25,16
No,Distributio,South America,10/31/10,B,3,28,16
No,Distributio,South America,11/30/10,B,3,31,16
No,Distributio,South America,12/31/10,B,2,33,16
No,Distributio,South America,01/31/11,B,3,3,23
No,Distributio,South America,02/28/11,B,3,6,26
No,Distributio,South America,03/31/11,B,4,10,26
No,Distributio,South America,04/30/11,B,6,16,29
No,Distributio,South America,05/31/11,B,5,21,29
No,Distributio,South America,06/30/11,B,6,27,29
No,Distributio,South America,07/31/11,B,10,37,42
No,Distributio,South America,08/31/11,B,9,46,49
No,Distributio,South America,09/30/11,B,9,55,52
No,Distributio,South America,10/31/11,B,8,63,52
No,Distributio,South America,11/30/11,B,7,70,49
No,Distributio,South America,12/31/11,B,6,76,49
No,Distributio,South America,01/31/12,B,8,8,52
No,Distributio,South America,02/28/12,B,9,17,52
No,Distributio,South America,03/31/12,B,10,27,52
No,Distributio,South America,04/30/12,B,22,49,88
No,Distributio,South America,05/31/12,B,19,68,81
No,Distributio,South America,06/30/12,B,23,91,81
No,Distributio,South America,07/31/12,B,28,119,91
No,Distributio,South America,08/31/12,B,18,137,72
No,Distributio,South America,09/30/12,B,16,153,65
No,Distributio,South America,10/31/12,B,12,165,55
No,Distributio,South America,11/30/12,B,10,175,52
No,Distributio,South America,12/31/12,B,8,183,52
No,Distributio,South America,01/31/13,B,5,5,52
No,Distributio,South America,02/28/13,B,5,10,42
No,Distributio,South America,03/31/13,B,5,15,39
No,Distributio,South America,04/30/13,B,6,21,36
No,Distributio,South America,05/31/13,B,6,27,36
No,Distributio,South America,06/30/13,B,7,34,36
No,Distributio,South America,07/31/13,B,2,36,10
No,Distributio,South America,08/31/13,B,1,37,7
No,Distributio,South America,09/30/13,B,1,38,7
No,Distributio,South America,10/31/13,B,1,39,7
No,Distributio,South America,11/30/13,B,1,40,7
No,Distributio,South America,12/31/13,B,1,41,7
No,Distributio,Asia,01/31/10,B,83,83,761
No,Distributio,Asia,02/28/10,B,91,174,757
No,Distributio,Asia,03/31/10,B,100,274,754
No,Distributio,Asia,04/30/10,B,134,408,741
No,Distributio,Asia,05/31/10,B,125,533,741
No,Distributio,Asia,06/30/10,B,156,689,761
No,Distributio,Asia,07/31/10,B,172,861,751
No,Distributio,Asia,08/31/10,B,132,993,731
No,Distributio,Asia,09/30/10,B,132,1125,728
No,Distributio,Asia,10/31/10,B,111,1236,709
No,Distributio,Asia,11/30/10,B,101,1337,699
No,Distributio,Asia,12/31/10,B,74,1411,679
No,Distributio,Asia,01/31/11,B,50,50,484
No,Distributio,Asia,02/28/11,B,56,106,488
No,Distributio,Asia,03/31/11,B,59,165,468
No,Distributio,Asia,04/30/11,B,80,245,465
No,Distributio,Asia,05/31/11,B,66,311,410
No,Distributio,Asia,06/30/11,B,79,390,406
No,Distributio,Asia,07/31/11,B,84,474,384
No,Distributio,Asia,08/31/11,B,65,539,377
No,Distributio,Asia,09/30/11,B,64,603,371
No,Distributio,Asia,10/31/11,B,55,658,371
No,Distributio,Asia,11/30/11,B,51,709,367
No,Distributio,Asia,12/31/11,B,37,746,358
No,Distributio,Asia,01/31/12,B,50,50,345
No,Distributio,Asia,02/28/12,B,50,100,312
No,Distributio,Asia,03/31/12,B,50,150,280
No,Distributio,Asia,04/30/12,B,54,204,224
No,Distributio,Asia,05/31/12,B,51,255,228
No,Distributio,Asia,06/30/12,B,55,310,202
No,Distributio,Asia,07/31/12,B,58,368,189
No,Distributio,Asia,08/31/12,B,45,413,185
No,Distributio,Asia,09/30/12,B,45,458,185
No,Distributio,Asia,10/31/12,B,36,494,172
No,Distributio,Asia,11/30/12,B,32,526,166
No,Distributio,Asia,12/31/12,B,22,548,150
No,Distributio,Asia,01/31/13,B,22,22,241
No,Distributio,Asia,02/28/13,B,21,43,208
No,Distributio,Asia,03/31/13,B,20,63,176
No,Distributio,Asia,04/30/13,B,25,88,166
No,Distributio,Asia,05/31/13,B,25,113,172
No,Distributio,Asia,06/30/13,B,30,143,172
No,Distributio,Asia,07/31/13,B,28,171,143
No,Distributio,Asia,08/31/13,B,21,192,137
No,Distributio,Asia,09/30/13,B,20,212,130
No,Distributio,Asia,10/31/13,B,16,228,120
No,Distributio,Asia,11/30/13,B,15,243,117
No,Distributio,Asia,12/31/13,B,11,254,120
No,Distributio,Europe,01/31/10,B,61,61,556
No,Distributio,Europe,02/28/10,B,68,129,559
No,Distributio,Europe,03/31/10,B,74,203,556
No,Distributio,Europe,04/30/10,B,96,299,533
No,Distributio,Europe,05/31/10,B,91,390,540
No,Distributio,Europe,06/30/10,B,109,499,533
No,Distributio,Europe,07/31/10,B,126,625,553
No,Distributio,Europe,08/31/10,B,100,725,553
No,Distributio,Europe,09/30/10,B,101,826,556
No,Distributio,Europe,10/31/10,B,89,915,569
No,Distributio,Europe,11/30/10,B,87,1002,598
No,Distributio,Europe,12/31/10,B,65,1067,595
No,Distributio,Europe,01/31/11,B,48,48,458
No,Distributio,Europe,02/28/11,B,51,99,442
No,Distributio,Europe,03/31/11,B,55,154,432
No,Distributio,Europe,04/30/11,B,73,227,423
No,Distributio,Europe,05/31/11,B,69,296,432
No,Distributio,Europe,06/30/11,B,84,380,429
No,Distributio,Europe,07/31/11,B,85,465,390
No,Distributio,Europe,08/31/11,B,66,531,380
No,Distributio,Europe,09/30/11,B,64,595,371
No,Distributio,Europe,10/31/11,B,53,648,354
No,Distributio,Europe,11/30/11,B,49,697,354
No,Distributio,Europe,12/31/11,B,36,733,345
No,Distributio,Europe,01/31/12,B,48,48,332
No,Distributio,Europe,02/28/12,B,50,98,309
No,Distributio,Europe,03/31/12,B,49,147,276
No,Distributio,Europe,04/30/12,B,61,208,254
No,Distributio,Europe,05/31/12,B,51,259,224
No,Distributio,Europe,06/30/12,B,61,320,224
No,Distributio,Europe,07/31/12,B,66,386,215
No,Distributio,Europe,08/31/12,B,46,432,192
No,Distributio,Europe,09/30/12,B,43,475,179
No,Distributio,Europe,10/31/12,B,37,512,176
No,Distributio,Europe,11/30/12,B,37,549,189
